inquiry_id,message,property
1,"Hi! Is Plymouth Pointe pet friendly?",Plymouth Pointe Apartments
2,"Can I schedule a tour this Saturday?",Plymouth Pointe Apartments
3,"Do you have any two-bedroom apartments available in July?",Plymouth Pointe Apartments
4,"Is parking included with rent?",Plymouth Pointe Apartments
5,"How much is rent for a one-bedroom?",Plymouth Pointe Apartments
6,"Is the fitness center included?",Plymouth Pointe Apartments
7,"How close is the property to major highways?",Plymouth Pointe Apartments
8,"What is required to apply?",Plymouth Pointe Apartments
9,"Do you allow dogs over 40 pounds?",Plymouth Pointe Apartments
10,"Can I move in August 1?",Plymouth Pointe Apartments
