inquiry_id,message,property,ai_reply
1,"Hi! Is Plymouth Pointe pet friendly?",Plymouth Pointe Apartments,"Thanks for reaching out! Plymouth Pointe Apartments is pet friendly and includes a dog park on-site. We'd be happy to answer any additional questions or help schedule a tour."
2,"Can I schedule a tour this Saturday?",Plymouth Pointe Apartments,"Thanks for your interest in Plymouth Pointe Apartments. We'd be happy to help schedule a tour this Saturday based on availability. Please let us know your preferred time and our leasing team can coordinate next steps."
3,"Do you have any two-bedroom apartments available in July?",Plymouth Pointe Apartments,"Thanks for reaching out. We may have two-bedroom options available in July depending on timing. Please share your target move-in date and we can confirm current availability."
4,"Is parking included with rent?",Plymouth Pointe Apartments,"Thanks for your question. Parking availability may vary by unit and lease terms. Our leasing team can confirm details and walk you through current options."
5,"How much is rent for a one-bedroom?",Plymouth Pointe Apartments,"Thanks for your interest in Plymouth Pointe Apartments. Current average pricing starts around our listed rental range, depending on floor plan and availability. We'd be happy to share current options."
6,"Is the fitness center included?",Plymouth Pointe Apartments,"Yes—Plymouth Pointe Apartments includes an on-site fitness center for residents. Let us know if you'd like more information or a tour."
7,"How close is the property to major highways?",Plymouth Pointe Apartments,"Plymouth Pointe Apartments is conveniently located near the Pennsylvania Turnpike and I-476, making commuting throughout the Philadelphia area easy."
8,"What is required to apply?",Plymouth Pointe Apartments,"Thanks for your interest. Our leasing team can walk you through the application process, including documentation and next steps based on availability."
9,"Do you allow dogs over 40 pounds?",Plymouth Pointe Apartments,"Thanks for reaching out. Pet policies can vary depending on breed and lease terms. Our leasing office can confirm the latest guidelines for your situation."
10,"Can I move in August 1?",Plymouth Pointe Apartments,"Thanks for your interest. August 1 availability depends on current turnover and leasing activity. Please let us know your preferred unit type and we can confirm available options."
